id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-817267";"2022-11-24";"1";"Vente";"89000.0";"24.0";"None";"RUE N D DE BON SECOURS";"2570";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0421";"None";"None";"3";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"29.0";"1.0";"None";"None";"None";"None";"nan";"2.8196";"49.414814";"000BI"
"2022-817267";"2022-11-24";"1";"Vente";"89000.0";"24.0";"None";"RUE N D DE BON SECOURS";"2570";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0421";"None";"None";"31";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.8196";"49.414814";"000BI"
"2022-817267";"2022-11-24";"1";"Vente";"89000.0";"24.0";"None";"RUE N D DE BON SECOURS";"2570";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0421";"None";"None";"11";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.8196";"49.414814";"000BI"
"2022-816576";"2022-10-24";"1";"Vente";"220000.0";"26.0";"None";"RUE N D DE BON SECOURS";"2570";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0381";"None";"None";"24";"70.55";"5";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"72.0";"4.0";"None";"None";"None";"None";"nan";"2.819235";"49.414732";"000BI"
"2022-816576";"2022-10-24";"1";"Vente";"220000.0";"26.0";"None";"RUE N D DE BON SECOURS";"2570";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0381";"None";"None";"24";"70.55";"5";"nan";"None";"nan";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.819235";"49.414732";"000BI"
"2022-816576";"2022-10-24";"1";"Vente";"220000.0";"26.0";"None";"RUE N D DE BON SECOURS";"2570";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0381";"None";"None";"210";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.819235";"49.414732";"000BI"
"2022-816875";"2022-10-21";"1";"Vente";"225000.0";"4.0";"None";"RUE SOEUR THERESE MASSIN";"3473";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0442";"None";"None";"113";"70.34";"251";"nan";"252";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"70.0";"3.0";"None";"None";"None";"None";"nan";"2.820887";"49.414189";"000BI"
"2022-816875";"2022-10-21";"1";"Vente";"225000.0";"4.0";"None";"RUE SOEUR THERESE MASSIN";"3473";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0442";"None";"None";"113";"70.34";"251";"nan";"252";"nan";"None";"None";"None";"None";"3";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.820887";"49.414189";"000BI"
"2022-816463";"2022-10-12";"1";"Vente";"245000.0";"6.0";"None";"RUE DES CAPUCINS";"0540";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0442";"None";"None";"46";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.820887";"49.414189";"000BI"
"2022-816463";"2022-10-12";"1";"Vente";"245000.0";"6.0";"None";"RUE DES CAPUCINS";"0540";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0442";"None";"None";"45";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.820887";"49.414189";"000BI"
"2022-816463";"2022-10-12";"1";"Vente";"245000.0";"8.0";"B";"RUE DES CAPUCINS";"0540";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0442";"None";"None";"161";"86.21";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"89.0";"0.0";"None";"None";"None";"None";"nan";"2.820887";"49.414189";"000BI"
"2022-816254";"2022-09-30";"1";"Vente";"644000.0";"6.0";"B";"RUE L EGLISE ST GERMAIN";"1100";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0261";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"157.0";"7.0";"S";"sols";"None";"None";"374.0";"2.817348";"49.412422";"000BI"
"2022-816254";"2022-09-30";"1";"Vente";"644000.0";"6.0";"B";"RUE L EGLISE ST GERMAIN";"1100";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0261";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"374.0";"2.817348";"49.412422";"000BI"
"2022-815655";"2022-09-19";"1";"Vente";"248000.0";"8.0";"None";"RUE L EGLISE ST GERMAIN";"1100";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0260";"None";"None";"25";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"101.0";"2.0";"None";"None";"None";"None";"nan";"2.81739";"49.412294";"000BI"
"2022-815655";"2022-09-19";"1";"Vente";"248000.0";"8.0";"None";"RUE L EGLISE ST GERMAIN";"1100";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0260";"None";"None";"32";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.81739";"49.412294";"000BI"
"2022-815655";"2022-09-19";"1";"Vente";"248000.0";"8.0";"None";"RUE L EGLISE ST GERMAIN";"1100";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0260";"None";"None";"37";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.81739";"49.412294";"000BI"
"2022-815432";"2022-09-09";"1";"Vente";"280000.0";"8.0";"None";"RUE L EGLISE ST GERMAIN";"1100";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0260";"None";"None";"28";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"90.0";"3.0";"None";"None";"None";"None";"nan";"2.81739";"49.412294";"000BI"
"2022-815432";"2022-09-09";"1";"Vente";"280000.0";"8.0";"None";"RUE L EGLISE ST GERMAIN";"1100";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0260";"None";"None";"41";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.81739";"49.412294";"000BI"
"2022-815432";"2022-09-09";"1";"Vente";"280000.0";"8.0";"None";"RUE L EGLISE ST GERMAIN";"1100";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0260";"None";"None";"28";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.81739";"49.412294";"000BI"
"2022-815465";"2022-09-01";"1";"Vente";"205000.0";"4.0";"None";"RUE SOEUR THERESE MASSIN";"3473";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0442";"None";"None";"115";"69.49";"256";"nan";"257";"nan";"258";"None";"None";"None";"4";"2";"Appartement";"68.0";"3.0";"None";"None";"None";"None";"nan";"2.820887";"49.414189";"000BI"
"2022-815465";"2022-09-01";"1";"Vente";"205000.0";"4.0";"None";"RUE SOEUR THERESE MASSIN";"3473";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0442";"None";"None";"115";"69.49";"256";"nan";"257";"nan";"258";"None";"None";"None";"4";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.820887";"49.414189";"000BI"
"2022-815144";"2022-08-29";"1";"Vente";"567000.0";"81.0";"B";"BD DES ETATS UNIS";"1170";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0204";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"160.0";"8.0";"S";"sols";"None";"None";"330.0";"2.81954";"49.40959";"000BI"
"2022-815144";"2022-08-29";"1";"Vente";"567000.0";"81.0";"B";"BD DES ETATS UNIS";"1170";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0204";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"330.0";"2.81954";"49.40959";"000BI"
"2022-814595";"2022-07-27";"1";"Vente";"360000.0";"6.0";"None";"RUE DES CAPUCINS";"0540";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0442";"None";"None";"63";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.820887";"49.414189";"000BI"
"2022-814595";"2022-07-27";"1";"Vente";"360000.0";"6.0";"None";"RUE DES CAPUCINS";"0540";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0442";"None";"None";"65";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.820887";"49.414189";"000BI"
"2022-814595";"2022-07-27";"1";"Vente";"360000.0";"6.0";"None";"RUE SOEUR THERESE MASSIN";"3473";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0442";"None";"None";"101";"145.0";"459";"nan";"None";"nan";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"151.0";"0.0";"None";"None";"None";"None";"nan";"2.820887";"49.414189";"000BI"
"2022-814232";"2022-07-26";"2";"Vente";"475500.0";"20.0";"B";"RUE DES FRERES GREBAN";"1430";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0465";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"166.0";"6.0";"AB";"Terrain à bâtir";"None";"None";"306.0";"2.814338";"49.413784";"000BI"
"2022-814231";"2022-07-26";"1";"Vente";"4500.0";"20.0";"None";"RUE DES FRERES GREBAN";"1430";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0509";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"32.0";"2.814157";"49.413671";"000BI"
"2022-814231";"2022-07-26";"1";"Vente";"4500.0";"20.0";"None";"RUE DES FRERES GREBAN";"1430";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0511";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"81.0";"2.814074";"49.413681";"000BI"
"2022-814232";"2022-07-26";"2";"Vente";"475500.0";"22.0";"None";"RUE DES FRERES GREBAN";"1430";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0512";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"108.0";"2.814004";"49.413646";"000BI"
"2022-814063";"2022-07-25";"1";"Vente";"153000.0";"4.0";"None";"PL CX BLANCHE COUR DES FEMMES";"0916";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0442";"None";"None";"152";"56.77";"326";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"58.0";"3.0";"None";"None";"None";"None";"nan";"2.820887";"49.414189";"000BI"
"2022-814102";"2022-07-25";"1";"Vente";"185000.0";"8.0";"None";"RUE L EGLISE ST GERMAIN";"1100";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0260";"None";"None";"26";"63.02";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"76.0";"2.0";"None";"None";"None";"None";"nan";"2.81739";"49.412294";"000BI"
"2022-814063";"2022-07-25";"1";"Vente";"153000.0";"4.0";"None";"PL CX BLANCHE COUR DES FEMMES";"0916";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0442";"None";"None";"152";"56.77";"326";"nan";"None";"nan";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.820887";"49.414189";"000BI"
"2022-814102";"2022-07-25";"1";"Vente";"185000.0";"8.0";"None";"RUE L EGLISE ST GERMAIN";"1100";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0260";"None";"None";"31";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.81739";"49.412294";"000BI"
"2022-814102";"2022-07-25";"1";"Vente";"185000.0";"8.0";"None";"RUE L EGLISE ST GERMAIN";"1100";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0260";"None";"None";"38";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.81739";"49.412294";"000BI"
"2022-814656";"2022-07-20";"1";"Vente";"668000.0";"17.0";"None";"RUE DU CHEVREUIL";"0670";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0035";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"230.0";"9.0";"S";"sols";"None";"None";"297.0";"2.816747";"49.413814";"000BI"
"2022-813639";"2022-07-08";"1";"Vente";"542500.0";"60.0";"None";"RUE DE PARIS";"2660";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0123";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"161.0";"8.0";"S";"sols";"None";"None";"548.0";"2.819674";"49.412298";"000BI"
"2022-813639";"2022-07-08";"1";"Vente";"542500.0";"60.0";"None";"RUE DE PARIS";"2660";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0123";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"548.0";"2.819674";"49.412298";"000BI"
"2022-813637";"2022-07-05";"1";"Vente";"198000.0";"8.0";"None";"RUE L EGLISE ST GERMAIN";"1100";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0260";"None";"None";"24";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"53.0";"1.0";"None";"None";"None";"None";"nan";"2.81739";"49.412294";"000BI"
"2022-813637";"2022-07-05";"1";"Vente";"198000.0";"8.0";"None";"RUE L EGLISE ST GERMAIN";"1100";"60200";"60159";"Compiègne";"60";"None";"None";"60159000BI0260";"None";"None";"44";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.81739";"49.412294";"000BI"
